Date,Close
8/9/2018,"23,496,668"
8/10/2018,"23,699,333"
8/13/2018,"23,760,668"
8/14/2018,"23,176,001"
8/15/2018,"22,579,332"
8/16/2018,"22,363,333"
8/17/2018,"20,366,667"
8/20/2018,"20,562,668"
8/21/2018,"21,459,999"
8/22/2018,"21,442,667"
8/23/2018,"21,340,000"
8/24/2018,"21,521,334"
8/27/2018,"21,284,666"
8/28/2018,"20,790,667"
8/29/2018,"20,334,000"
8/30/2018,"20,209,999"
8/31/2018,"20,110,666"
9/4/2018,"19,263,332"
9/5/2018,"18,716,000"
9/6/2018,"18,730,000"
9/7/2018,"17,549,334"
9/10/2018,"19,033,333"
9/11/2018,"18,629,333"
9/12/2018,"19,369,333"
9/13/2018,"19,297,333"
9/14/2018,"19,680,000"
9/17/2018,"19,656,000"
9/18/2018,"18,997,334"
9/19/2018,"19,934,668"
9/20/2018,"19,888,666"
9/21/2018,"19,940,001"
9/24/2018,"19,978,666"
9/25/2018,"20,066,000"
9/26/2018,"20,638,666"
9/27/2018,"20,501,333"
9/28/2018,"17,651,333"
10/1/2018,"20,713,333"
10/2/2018,"20,068,001"
10/3/2018,"19,653,334"
10/4/2018,"18,788,668"
10/5/2018,"17,463,333"
10/8/2018,"16,704,000"
10/9/2018,"17,520,000"
10/10/2018,"17,125,334"
10/11/2018,"16,815,332"
10/12/2018,"17,252,001"
10/15/2018,"17,306,000"
10/16/2018,"18,439,333"
10/17/2018,"18,118,668"
10/18/2018,"17,594,000"
10/19/2018,"17,333,332"
10/22/2018,"17,396,667"
10/23/2018,"19,609,333"
10/24/2018,"19,233,334"
10/25/2018,"20,990,667"
10/26/2018,"22,059,999"
10/29/2018,"22,323,334"
10/30/2018,"21,993,334"
10/31/2018,"22,488,001"
11/1/2018,"22,952,000"
11/2/2018,"23,094,000"
11/5/2018,"22,760,000"
11/6/2018,"22,737,333"
11/7/2018,"23,210,667"
11/8/2018,"23,426,666"
11/9/2018,"23,367,332"
11/12/2018,"22,085,333"
11/13/2018,"22,582,001"
11/14/2018,"22,933,332"
11/15/2018,"23,229,334"
11/16/2018,"23,620,667"
11/19/2018,"23,564,667"
11/20/2018,"23,166,000"
11/21/2018,"22,546,000"
11/23/2018,"21,722,000"
11/26/2018,"23,066,668"
11/27/2018,"22,927,999"
11/28/2018,"23,191,334"
11/29/2018,"22,744,667"
11/30/2018,"23,365,334"
12/3/2018,"23,899,332"
12/4/2018,"23,980,000"
12/6/2018,"24,204,000"
12/7/2018,"23,864,668"
12/10/2018,"24,343,332"
12/11/2018,"24,450,666"
12/12/2018,"24,440,001"
12/13/2018,"25,119,333"
12/14/2018,"24,380,667"
12/17/2018,"23,228,001"
12/18/2018,"22,468,666"
12/19/2018,"22,198,000"
12/20/2018,"21,025,333"
12/21/2018,"21,318,001"
12/24/2018,"19,692,667"
12/26/2018,"21,739,332"
12/27/2018,"21,075,333"
12/28/2018,"22,257,999"
12/31/2018,"22,186,666"
1/2/2019,"20,674,667"
1/3/2019,"20,024,000"
1/4/2019,"21,179,333"
1/7/2019,"22,330,667"
1/8/2019,"22,356,667"
1/9/2019,"22,568,666"
1/10/2019,"22,997,999"
1/11/2019,"23,150,667"
1/14/2019,"22,293,333"
1/15/2019,"22,962,000"
1/16/2019,"23,070,000"
1/17/2019,"23,153,999"
1/18/2019,"20,150,667"
1/22/2019,"19,927,999"
1/23/2019,"19,172,667"
1/24/2019,"19,434,000"
1/25/2019,"19,802,668"
1/28/2019,"19,758,667"
1/29/2019,"19,830,667"
1/30/2019,"20,584,667"
1/31/2019,"20,468,000"
2/1/2019,"20,813,999"
2/4/2019,"20,859,333"
2/5/2019,"21,423,332"
2/6/2019,"21,148,001"
2/7/2019,"20,500,668"
2/8/2019,"20,386,667"
2/11/2019,"20,856,001"
2/12/2019,"20,787,333"
2/13/2019,"20,544,666"
2/14/2019,"20,251,333"
2/15/2019,"20,525,333"
2/19/2019,"20,375,999"
2/20/2019,"20,170,668"
2/21/2019,"19,415,333"
2/22/2019,"19,647,333"
2/25/2019,"19,917,999"
2/26/2019,"19,857,332"
2/27/2019,"20,982,668"
2/28/2019,"21,325,333"
3/1/2019,"19,652,666"
3/4/2019,"19,024,000"
3/5/2019,"18,436,001"
3/6/2019,"18,416,000"
3/7/2019,"18,439,333"
3/8/2019,"18,942,667"
3/11/2019,"19,394,667"
3/12/2019,"18,890,667"
3/13/2019,"19,264,000"
3/14/2019,"19,330,667"
3/15/2019,"18,362,000"
3/18/2019,"17,966,000"
3/19/2019,"17,831,333"
3/20/2019,"18,240,000"
3/21/2019,"18,268,000"
3/22/2019,"17,635,332"
3/25/2019,"17,361,334"
3/26/2019,"17,851,334"
3/27/2019,"18,322,001"
3/28/2019,"18,574,667"
3/29/2019,"18,657,333"
4/1/2019,"19,278,667"
4/2/2019,"19,058,666"
4/3/2019,"19,454,000"
4/4/2019,"17,851,999"
4/5/2019,"18,330,667"
4/8/2019,"18,213,333"
4/9/2019,"18,153,999"
4/10/2019,"18,403,999"
4/11/2019,"17,894,667"
4/12/2019,"17,846,666"
4/15/2019,"17,758,667"
4/16/2019,"18,224,001"
4/17/2019,"18,082,001"
4/18/2019,"18,217,333"
4/22/2019,"17,516,666"
4/23/2019,"17,593,332"
4/24/2019,"17,243,999"
4/25/2019,"16,508,667"
4/26/2019,"15,676,000"
4/29/2019,"16,098,000"
4/30/2019,"15,912,667"
5/1/2019,"15,600,667"
5/2/2019,"16,273,333"
5/3/2019,"17,002,001"
5/6/2019,"17,022,667"
5/7/2019,"16,470,667"
5/8/2019,"16,322,666"
5/9/2019,"16,132,000"
5/10/2019,"15,968,000"
5/13/2019,"15,134,000"
5/14/2019,"15,487,333"
5/15/2019,"15,463,333"
5/16/2019,"15,222,000"
5/17/2019,"14,068,667"
5/20/2019,"13,690,667"
5/21/2019,"13,672,000"
5/22/2019,"12,848,667"
5/23/2019,"13,032,667"
5/24/2019,"12,708,667"
5/28/2019,"12,580,000"
5/29/2019,"12,657,333"
5/30/2019,"12,548,000"
5/31/2019,"12,344,000"
6/3/2019,"11,931,333"
6/4/2019,"12,906,667"
6/5/2019,"13,106,000"
6/6/2019,"13,730,000"
6/7/2019,"13,633,333"
6/10/2019,"14,192,000"
6/11/2019,"14,473,333"
6/12/2019,"13,950,667"
6/13/2019,"14,260,667"
6/14/2019,"14,328,000"
6/17/2019,"15,002,000"
6/18/2019,"14,982,667"
6/19/2019,"15,095,333"
6/20/2019,"14,641,333"
6/21/2019,"14,790,667"
6/24/2019,"14,909,333"
6/25/2019,"14,650,667"
6/26/2019,"14,618,000"
6/27/2019,"14,856,000"
6/28/2019,"14,897,333"
7/1/2019,"15,144,667"
7/2/2019,"14,970,000"
7/3/2019,"15,660,000"
7/5/2019,"15,540,000"
7/8/2019,"15,356,000"
7/9/2019,"15,337,333"
7/10/2019,"15,928,000"
7/11/2019,"15,906,667"
7/12/2019,"16,338,667"
7/15/2019,"16,900,000"
7/16/2019,"16,825,333"
7/17/2019,"16,990,667"
7/18/2019,"16,902,666"
7/19/2019,"17,212,000"
7/22/2019,"17,045,334"
7/23/2019,"17,344,667"
